Date,Open,High,Low,Close,Volume
2000-07-31,0.784063,0.911983,0.705421,0.764651,6820114228
2000-08-31,0.75716,0.925387,0.665508,0.916909,6688757295
2000-09-30,0.922725,0.964805,0.381959,0.387655,17228305992
2000-10-31,0.401786,0.402694,0.263326,0.29433,25997206857
2000-11-30,0.292416,0.346077,0.242592,0.248307,10073775571
2000-12-31,0.255826,0.263326,0.205013,0.223836,10513589913
2001-01-31,0.223836,0.33853,0.217312,0.325284,16270023189
2001-02-28,0.311448,0.330182,0.270875,0.274452,8335618757
2001-03-31,0.267858,0.35752,0.258823,0.332204,12816039733
2001-04-30,0.332204,0.408098,0.282288,0.383398,13243193424
2001-05-31,0.382512,0.401786,0.290517,0.300055,8863338861
2001-06-30,0.302767,0.377703,0.291325,0.349724,9064890211
2001-07-31,0.355736,0.379459,0.268784,0.282602,10271645022
2001-08-31,0.286181,0.299444,0.260024,0.27927,6087386930
2001-09-30,0.278324,0.287076,0.22085,0.23324,6564664413
2001-10-31,0.23324,0.292121,0.223256,0.264241,8953311698
2001-11-30,0.265337,0.324467,0.259373,0.320505,6372670188
2001-12-31,0.316918,0.361738,0.302194,0.329571,5494569867
2002-01-31,0.331896,0.372214,0.30445,0.371908,10105822540
2002-02-28,0.37989,0.39086,0.315092,0.326554,9301246023
2002-03-31,0.329836,0.380678,0.328329,0.356289,6311952666
2002-04-30,0.351794,0.393865,0.346077,0.365088,7622450583
2002-05-31,0.365356,0.39086,0.333139,0.350593,7092344760
2002-06-30,0.35211,0.352712,0.240434,0.266578,10334442471
2002-07-31,0.266578,0.282602,0.207606,0.229585,9634719122
2002-08-31,0.227277,0.244395,0.210395,0.222121,6113884152
2002-09-30,0.218181,0.228438,0.211608,0.218181,6280211843
2002-10-31,0.219373,0.247352,0.200984,0.24192,7846272410
2002-11-30,0.23988,0.261502,0.225689,0.23324,5378126237
2002-12-31,0.239201,0.242264,0.20729,0.215794,5376604589
2003-01-31,0.216091,0.231445,0.204057,0.216091,7175033435
2003-02-28,0.217017,0.230174,0.207606,0.225689,4882745551
2003-03-31,0.225689,0.228145,0.211311,0.212711,4780803600
2003-04-30,0.213627,0.224762,0.191416,0.213923,9254139407
2003-05-31,0.214218,0.285913,0.210709,0.269989,12851932555
2003-06-30,0.272324,0.296449,0.250081,0.286761,7262077649
2003-07-31,0.28408,0.324792,0.278631,0.317232,6184163989
2003-08-31,0.315981,0.34395,0.292121,0.340123,5111929598
2003-09-30,0.340943,0.350887,0.30304,0.311793,6354511783
2003-10-31,0.311793,0.37642,0.303917,0.344589,8357407790
2003-11-30,0.343359,0.350593,0.298803,0.31477,5909843297
2003-12-31,0.316541,0.329571,0.289569,0.321657,6491322704
2004-01-31,0.324467,0.373742,0.318709,0.339524,9408437110
2004-02-29,0.337879,0.362625,0.326554,0.359856,5841308915
2004-03-31,0.362369,0.423382,0.355106,0.406903,13774078198
2004-04-30,0.404725,0.445083,0.383398,0.387913,10588022190
2004-05-31,0.391156,0.433069,0.383684,0.422169,6294140253
2004-06-30,0.41801,0.514137,0.415301,0.489607,9764525125
2004-07-31,0.482717,0.505956,0.432448,0.486631,11509656929
2004-08-31,0.470073,0.529412,0.446916,0.519063,9509925997
2004-09-30,0.516008,0.591103,0.514137,0.583219,9110776454
2004-10-31,0.58854,0.80062,0.566465,0.7884,19133476224
2004-11-30,0.789977,1.04662,0.782882,1.00886,20706535594
